-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,1.5446430444717407
1.0,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.3218289613723755
1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-4.860286235809326
-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,0.0,0.0,4.791207790374756
1.0,0.0,1.0,-1.0,0.0,0.0,-1.0,1.0,1.0,-1.0,-6.1380720138549805
-1.0,1.0,1.0,1.0,0.0,-1.0,0.0,-1.0,1.0,1.0,5.3792901039123535
1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,0.0,1.0,-0.3419939875602722
1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.9906059503555298
1.0,0.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,-1.0,-6.7455058097839355
-1.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,-1.0,1.383707046508789
-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,3.7723259925842285
1.0,1.0,-1.0,1.0,-1.0,0.0,-1.0,1.0,1.0,0.0,-5.465415954589844
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,-1.0,1.0,-2.186476945877075
-1.0,-1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,-1.0,-2.6559760570526123
-1.0,-1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.534470081329346
1.0,0.0,1.0,1.0,0.0,1.0,-1.0,0.0,1.0,1.0,-1.492838978767395
1.0,1.0,1.0,1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-2.7165699005126953
-1.0,1.0,-1.0,-1.0,0.0,0.0,1.0,0.0,-1.0,1.0,-1.514786958694458
1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-0.17407500743865967
1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.0,-6.147144794464111
1.0,1.0,1.0,0.0,-1.0,0.0,0.0,1.0,1.0,-1.0,-4.840994834899902
