,MTaylor(with new sparse)
0,9.810531343298163e-8*x_0**6*x_1 - 1.9346254522610543e-8*x_0**6 - 4.409833646836938e-6*x_0**5*x_1**2 + 1.6681560891766784e-7*x_0**5*x_1 + 2.2794137921703208e-7*x_0**5 + 2.7523359458737228e-5*x_0**4*x_1**3 + 4.4095873460304004e-5*x_0**4*x_1**2 - 1.29197560205686e-5*x_0**4*x_1 - 6.8821298086001206e-7*x_0**4 + 0.00014751607403235776*x_0**3*x_1**4 - 0.00044247470120273859*x_0**3*x_1**3 - 2.2104230896765308e-5*x_0**3*x_1**2 + 4.6717755928287747e-5*x_0**3*x_1 + 6.9318163331855664e-7*x_0**3 - 0.0018249168079956268*x_0**2*x_1**5 + 0.0027869908452753937*x_0**2*x_1**4 - 0.00084013653401041489*x_0**2*x_1**3 + 0.0002567378015076671*x_0**2*x_1**2 - 7.7366056347158863e-5*x_0**2*x_1 + 1.3673316365476115e-7*x_0**2 + 0.12295133290299876*x_0*x_1**6 - 0.3333143675433168*x_0*x_1**5 + 0.46118133375251595*x_0*x_1**4 - 0.49554085541261137*x_0*x_1**3 + 0.49962113391481747*x_0*x_1**2 - 0.49995015404645971*x_0*x_1 + 0.49999960710383558*x_0 - 0.0069944455445642215*x_1**6 + 0.01145042750944609*x_1**5 - 0.0065354496099366471*x_1**4 + 0.0015714139507078465*x_1**3 - 0.00012808906971087116*x_1**2 - 2.3451338382409267e-6*x_1 + 3.8305918430141223e-8
1,-3.099646931881908e-6*x_0**5*x_1 + 4.2593756977970455e-7*x_0**5 + 3.5314981180464934e-5*x_0**4*x_1**2 + 1.5485401114378902e-5*x_0**4*x_1 - 2.7964146942888845e-6*x_0**4 - 0.0005478304687346837*x_0**3*x_1**3 + 0.00013227481211741816*x_0**3*x_1**2 - 7.0442454124783205e-5*x_0**3*x_1 + 8.2442022061375134e-6*x_0**3 + 0.006747334249316834*x_0**2*x_1**4 - 0.003216316311388709*x_0**2*x_1**3 + 0.00038976783733986402*x_0**2*x_1**2 + 7.6533668589066358e-5*x_0**2*x_1 - 1.0280264941011331e-5*x_0**2 - 0.14796874179609731*x_0*x_1**5 + 0.35081998684105742*x_0*x_1**4 - 0.46481839312684806*x_0*x_1**3 + 0.49594236063379004*x_0*x_1**2 - 0.49985328952960746*x_0*x_1 + 0.50000212776113582*x_0 + 0.0034930636064898421*x_1**5 - 0.0022945619296504759*x_1**4 + 0.00023063217245039036*x_1**3 + 4.8413372103679879e-5*x_1**2 - 2.961328483792524e-6*x_1 - 2.8313459339769015e-7
2,1.211336242382767e-7*x_0**6*x_1 - 4.7708430279681787e-9*x_0**6 - 4.611212146572352e-6*x_0**5*x_1**2 - 1.049010504729279e-6*x_0**5*x_1 + 4.759632017021934e-8*x_0**5 + 7.711154998377223e-5*x_0**4*x_1**3 + 3.059327643481191e-5*x_0**4*x_1**2 + 2.5353087949036479e-6*x_0**4*x_1 - 1.3669226604585586e-7*x_0**4 - 0.0007137411913148573*x_0**3*x_1**4 - 0.0003314960428871426*x_0**3*x_1**3 - 5.1490737685534099e-5*x_0**3*x_1**2 - 2.5440890638481717e-6*x_0**3*x_1 + 1.2806335393426263e-7*x_0**3 + 0.0005046406159717937*x_0**2*x_1**5 + 0.003495622934523149*x_0**2*x_1**4 + 7.3107918008308452e-5*x_0**2*x_1**3 + 6.3597656221815584e-6*x_0**2*x_1**2 + 4.9102865669739859e-6*x_0**2*x_1 - 1.0070715556270295e-7*x_0**2 + 0.10681813960100171*x_0*x_1**6 - 0.31428570372940342*x_0*x_1**5 + 0.44743197079989697*x_0*x_1**4 - 0.49285128669198065*x_0*x_1**3 + 0.49955283298093721*x_0*x_1**2 - 0.49999064600260261*x_0*x_1 + 0.49999994978432319*x_0 + 0.0048578003926059691*x_1**6 - 0.0072434089107661311*x_1**5 + 0.0037380804406184562*x_1**4 - 0.00065564739271578138*x_1**3 + 4.5855740820227677e-5*x_1**2 - 1.0455043234058501e-6*x_1 + 6.429861910883146e-9
3,0.0053381934130071725*x_0 + 0.04360652335713561*x_1 + 0.8871968783437777
4,-9.539164349428516e-6*x_0**5*x_1 + 1.081204663486656e-6*x_0**5 + 0.0001226331089885203*x_0**4*x_1**2 + 0.0001022442424053581*x_0**4*x_1 - 1.2608396483331039e-5*x_0**4 + 1.0576975667273706e-5*x_0**3*x_1**3 - 0.0014442604064679937*x_0**3*x_1**2 - 0.00021717648964807453*x_0**3*x_1 + 3.8355902448381352e-5*x_0**3 - 0.0016980556417632215*x_0**2*x_1**4 + 0.0025043597433205134*x_0**2*x_1**3 + 0.0032834437251460803*x_0**2*x_1**2 - 1.5909014556360836e-5*x_0**2*x_1 - 3.7241096824981994e-5*x_0**2 - 0.09430786042582529*x_0*x_1**5 + 0.30272667131874433*x_0*x_1**4 - 0.45318265695767105*x_0*x_1**3 + 0.49211842086594442*x_0*x_1**2 - 0.49955567835208393*x_0*x_1 + 0.50000707166847699*x_0 - 0.008799118896466028*x_1**5 + 0.014182962812109422*x_1**4 - 0.0070423861642507281*x_1**3 + 0.0015066646525067771*x_1**2 - 9.5694159444269668e-5*x_1 - 1.0618082838207883e-7
5,-3.099646931881908e-6*x_0**5*x_1 + 4.2593756977970455e-7*x_0**5 + 3.5314981180464934e-5*x_0**4*x_1**2 + 1.5485401114378902e-5*x_0**4*x_1 - 2.7964146942888845e-6*x_0**4 - 0.0005478304687346837*x_0**3*x_1**3 + 0.00013227481211741816*x_0**3*x_1**2 - 7.0442454124783205e-5*x_0**3*x_1 + 8.2442022061375134e-6*x_0**3 + 0.006747334249316834*x_0**2*x_1**4 - 0.003216316311388709*x_0**2*x_1**3 + 0.00038976783733986402*x_0**2*x_1**2 + 7.6533668589066358e-5*x_0**2*x_1 - 1.0280264941011331e-5*x_0**2 - 0.14796874179609731*x_0*x_1**5 + 0.35081998684105742*x_0*x_1**4 - 0.46481839312684806*x_0*x_1**3 + 0.49594236063379004*x_0*x_1**2 - 0.49985328952960746*x_0*x_1 + 0.50000212776113582*x_0 + 0.0034930636064898421*x_1**5 - 0.0022945619296504759*x_1**4 + 0.00023063217245039036*x_1**3 + 4.8413372103679879e-5*x_1**2 - 2.961328483792524e-6*x_1 - 2.8313459339769015e-7
6,1.211336242382767e-7*x_0**6*x_1 - 4.7708430279681787e-9*x_0**6 - 4.611212146572352e-6*x_0**5*x_1**2 - 1.049010504729279e-6*x_0**5*x_1 + 4.759632017021934e-8*x_0**5 + 7.711154998377223e-5*x_0**4*x_1**3 + 3.059327643481191e-5*x_0**4*x_1**2 + 2.5353087949036479e-6*x_0**4*x_1 - 1.3669226604585586e-7*x_0**4 - 0.0007137411913148573*x_0**3*x_1**4 - 0.0003314960428871426*x_0**3*x_1**3 - 5.1490737685534099e-5*x_0**3*x_1**2 - 2.5440890638481717e-6*x_0**3*x_1 + 1.2806335393426263e-7*x_0**3 + 0.0005046406159717937*x_0**2*x_1**5 + 0.003495622934523149*x_0**2*x_1**4 + 7.3107918008308452e-5*x_0**2*x_1**3 + 6.3597656221815584e-6*x_0**2*x_1**2 + 4.9102865669739859e-6*x_0**2*x_1 - 1.0070715556270295e-7*x_0**2 + 0.10681813960100171*x_0*x_1**6 - 0.31428570372940342*x_0*x_1**5 + 0.44743197079989697*x_0*x_1**4 - 0.49285128669198065*x_0*x_1**3 + 0.49955283298093721*x_0*x_1**2 - 0.49999064600260261*x_0*x_1 + 0.49999994978432319*x_0 + 0.0048578003926059691*x_1**6 - 0.0072434089107661311*x_1**5 + 0.0037380804406184562*x_1**4 - 0.00065564739271578138*x_1**3 + 4.5855740820227677e-5*x_1**2 - 1.0455043234058501e-6*x_1 + 6.429861910883146e-9
7,0.0053381934130071725*x_0 + 0.04360652335713561*x_1 + 0.8871968783437777
8,-9.539164349428516e-6*x_0**5*x_1 + 1.081204663486656e-6*x_0**5 + 0.0001226331089885203*x_0**4*x_1**2 + 0.0001022442424053581*x_0**4*x_1 - 1.2608396483331039e-5*x_0**4 + 1.0576975667273706e-5*x_0**3*x_1**3 - 0.0014442604064679937*x_0**3*x_1**2 - 0.00021717648964807453*x_0**3*x_1 + 3.8355902448381352e-5*x_0**3 - 0.0016980556417632215*x_0**2*x_1**4 + 0.0025043597433205134*x_0**2*x_1**3 + 0.0032834437251460803*x_0**2*x_1**2 - 1.5909014556360836e-5*x_0**2*x_1 - 3.7241096824981994e-5*x_0**2 - 0.09430786042582529*x_0*x_1**5 + 0.30272667131874433*x_0*x_1**4 - 0.45318265695767105*x_0*x_1**3 + 0.49211842086594442*x_0*x_1**2 - 0.49955567835208393*x_0*x_1 + 0.50000707166847699*x_0 - 0.008799118896466028*x_1**5 + 0.014182962812109422*x_1**4 - 0.0070423861642507281*x_1**3 + 0.0015066646525067771*x_1**2 - 9.5694159444269668e-5*x_1 - 1.0618082838207883e-7
9,-3.099646931881908e-6*x_0**5*x_1 + 4.2593756977970455e-7*x_0**5 + 3.5314981180464934e-5*x_0**4*x_1**2 + 1.5485401114378902e-5*x_0**4*x_1 - 2.7964146942888845e-6*x_0**4 - 0.0005478304687346837*x_0**3*x_1**3 + 0.00013227481211741816*x_0**3*x_1**2 - 7.0442454124783205e-5*x_0**3*x_1 + 8.2442022061375134e-6*x_0**3 + 0.006747334249316834*x_0**2*x_1**4 - 0.003216316311388709*x_0**2*x_1**3 + 0.00038976783733986402*x_0**2*x_1**2 + 7.6533668589066358e-5*x_0**2*x_1 - 1.0280264941011331e-5*x_0**2 - 0.14796874179609731*x_0*x_1**5 + 0.35081998684105742*x_0*x_1**4 - 0.46481839312684806*x_0*x_1**3 + 0.49594236063379004*x_0*x_1**2 - 0.49985328952960746*x_0*x_1 + 0.50000212776113582*x_0 + 0.0034930636064898421*x_1**5 - 0.0022945619296504759*x_1**4 + 0.00023063217245039036*x_1**3 + 4.8413372103679879e-5*x_1**2 - 2.961328483792524e-6*x_1 - 2.8313459339769015e-7
