,MTaylor(with new sparse)
0,-0.07147952644515303*x_0 + 0.02656518630385921*x_1 - 0.03391994921001827
1,0.010718755860557368*x_0 - 0.010585813721115493*x_1 - 0.03293453728531
2,0.010718755860557368*x_0 - 0.010585813721115493*x_1 - 0.03293453728531
3,0.010718755860557368*x_0 - 0.010585813721115493*x_1 - 0.03293453728531
4,0.010718755860557368*x_0 - 0.010585813721115493*x_1 - 0.03293453728531
5,0.010718755860557368*x_0 - 0.010585813721115493*x_1 - 0.03293453728531
6,0.010718755860557368*x_0 - 0.010585813721115493*x_1 - 0.03293453728531
7,0.010718755860557368*x_0 - 0.010585813721115493*x_1 - 0.03293453728531
8,0.010718755860557368*x_0 - 0.010585813721115493*x_1 - 0.03293453728531
9,0.010718755860557368*x_0 - 0.010585813721115493*x_1 - 0.03293453728531
10,0.010718755860557368*x_0 - 0.010585813721115493*x_1 - 0.03293453728531
11,0.010718755860557368*x_0 - 0.010585813721115493*x_1 - 0.03293453728531
12,0.010718755860557368*x_0 - 0.010585813721115493*x_1 - 0.03293453728531
13,0.010718755860557368*x_0 - 0.010585813721115493*x_1 - 0.03293453728531
14,0.010718755860557368*x_0 - 0.010585813721115493*x_1 - 0.03293453728531
15,0.010718755860557368*x_0 - 0.010585813721115493*x_1 - 0.03293453728531
16,0.010718755860557368*x_0 - 0.010585813721115493*x_1 - 0.03293453728531
17,0.010718755860557368*x_0 - 0.010585813721115493*x_1 - 0.03293453728531
18,0.010718755860557368*x_0 - 0.010585813721115493*x_1 - 0.03293453728531
19,0.010718755860557368*x_0 - 0.010585813721115493*x_1 - 0.03293453728531
20,0.010718755860557368*x_0 - 0.010585813721115493*x_1 - 0.03293453728531
21,0.010718755860557368*x_0 - 0.010585813721115493*x_1 - 0.03293453728531
22,0.010718755860557368*x_0 - 0.010585813721115493*x_1 - 0.03293453728531
23,0.010718755860557368*x_0 - 0.010585813721115493*x_1 - 0.03293453728531
24,0.010718755860557368*x_0 - 0.010585813721115493*x_1 - 0.03293453728531
25,0.010718755860557368*x_0 - 0.010585813721115493*x_1 - 0.03293453728531
26,0.010718755860557368*x_0 - 0.010585813721115493*x_1 - 0.03293453728531
27,0.010718755860557368*x_0 - 0.010585813721115493*x_1 - 0.03293453728531
28,0.010718755860557368*x_0 - 0.010585813721115493*x_1 - 0.03293453728531
29,0.010718755860557368*x_0 - 0.010585813721115493*x_1 - 0.03293453728531
0,-0.08610141007257618*x_0 + 0.0006006789544964225*x_1 - 0.03374488589281819
1,-0.014512630067896496*x_0 + 0.014124525303916478*x_1 - 0.03353235306270045
2,0.010718755860557368*x_0 - 0.010585813721115493*x_1 - 0.03293453728531
3,0.010718755860557368*x_0 - 0.010585813721115493*x_1 - 0.03293453728531
4,0.010718755860557368*x_0 - 0.010585813721115493*x_1 - 0.03293453728531
5,0.010718755860557368*x_0 - 0.010585813721115493*x_1 - 0.03293453728531
6,0.010718755860557368*x_0 - 0.010585813721115493*x_1 - 0.03293453728531
7,0.010718755860557368*x_0 - 0.010585813721115493*x_1 - 0.03293453728531
8,0.010718755860557368*x_0 - 0.010585813721115493*x_1 - 0.03293453728531
9,0.010718755860557368*x_0 - 0.010585813721115493*x_1 - 0.03293453728531
10,0.010718755860557368*x_0 - 0.010585813721115493*x_1 - 0.03293453728531
11,0.010718755860557368*x_0 - 0.010585813721115493*x_1 - 0.03293453728531
12,0.010718755860557368*x_0 - 0.010585813721115493*x_1 - 0.03293453728531
13,0.010718755860557368*x_0 - 0.010585813721115493*x_1 - 0.03293453728531
14,0.010718755860557368*x_0 - 0.010585813721115493*x_1 - 0.03293453728531
15,0.010718755860557368*x_0 - 0.010585813721115493*x_1 - 0.03293453728531
16,0.010718755860557368*x_0 - 0.010585813721115493*x_1 - 0.03293453728531
17,0.010718755860557368*x_0 - 0.010585813721115493*x_1 - 0.03293453728531
18,0.010718755860557368*x_0 - 0.010585813721115493*x_1 - 0.03293453728531
19,0.010718755860557368*x_0 - 0.010585813721115493*x_1 - 0.03293453728531
20,0.010718755860557368*x_0 - 0.010585813721115493*x_1 - 0.03293453728531
21,0.010718755860557368*x_0 - 0.010585813721115493*x_1 - 0.03293453728531
22,0.010718755860557368*x_0 - 0.010585813721115493*x_1 - 0.03293453728531
23,0.010718755860557368*x_0 - 0.010585813721115493*x_1 - 0.03293453728531
24,0.010718755860557368*x_0 - 0.010585813721115493*x_1 - 0.03293453728531
25,0.010718755860557368*x_0 - 0.010585813721115493*x_1 - 0.03293453728531
26,0.010718755860557368*x_0 - 0.010585813721115493*x_1 - 0.03293453728531
27,0.010718755860557368*x_0 - 0.010585813721115493*x_1 - 0.03293453728531
28,0.010718755860557368*x_0 - 0.010585813721115493*x_1 - 0.03293453728531
29,0.010718755860557368*x_0 - 0.010585813721115493*x_1 - 0.03293453728531
